id_partido	competition	fixture	date	city	stadium	resultado	home_team	away_team
3872632	División de Honor Juvenil	Jornada 11	20/11/2022 13:30h	Ciudad: Moraleja De Enmedio	Estadio: Moraleja de Enmedio - La Dehesa	1 - 0	C.F. Fuenlabrada SAD	C.F. Rayo Majadahonda
3872633	División de Honor Juvenil	Jornada 11	20/11/2022 18:00h	Ciudad: Alcalá De Henares	Estadio: C.D. ALCALÁ (natural)	2 - 1	Club Atlético de Madrid SAD	C.D. Col. Diocesano
3872634	División de Honor Juvenil	Jornada 11	20/11/2022 12:00h	Ciudad: Villanueva De La Serena	Estadio: Anexo Estadio Villanovense	2 - 0	U.D. La Cruz Villanovense	C. y D. Leonesa S.A.D.
3872635	División de Honor Juvenil	Jornada 11	20/11/2022 16:00h	Ciudad: Getafe	Estadio: Ciudad Deportiva Getafe	0 - 3	Getafe C.F. SAD	Real Madrid C.F.
3872636	División de Honor Juvenil	Jornada 11	20/11/2022 16:30h	Ciudad: Valladolid	Estadio: Anexos E.M. José Zorrilla 3	1 - 0	Real Valladolid C.F. S.A.D.	A.D. Alcorcón SAD
3872637	División de Honor Juvenil	Jornada 11	19/11/2022 16:00h	Ciudad: Alcobendas	Estadio: Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	2 - 3	Rayo Ciudad Alcobendas CF	Rayo Vallecano de Madrid SAD
3872638	División de Honor Juvenil	Jornada 12	27/11/2022 17:30h	Ciudad: Madrid	Estadio: Municipal Sporting de Hortaleza	1 - 1	AD Sporting Hortaleza	Rayo Ciudad Alcobendas CF
3872639	División de Honor Juvenil	Jornada 12	27/11/2022 13:30h	Ciudad: Leganes	Estadio: Instalación Deportiva Butarque	2 - 0	C.D. Leganés SAD	C.D. Badajoz 1905
3872640	División de Honor Juvenil	Jornada 12	26/11/2022 18:00h	Ciudad: Majadahonda	Estadio: Campos Municipales Valle de la Oliva	4 - 1	C.F. Rayo Majadahonda	C.D.I. de la Amistad
3872641	División de Honor Juvenil	Jornada 12	27/11/2022 12:00h	Ciudad: Cáceres	Estadio: Federación de Caceres	1 - 1	C.D. Col. Diocesano	C.F. Fuenlabrada SAD
3872642	División de Honor Juvenil	Jornada 12	26/11/2022 13:30h	Ciudad: Leon	Estadio: Area D. de Puente Castro 1	0 - 1	C. y D. Leonesa S.A.D.	Club Atlético de Madrid SAD
3872643	División de Honor Juvenil	Jornada 12	27/11/2022 16:00h	Ciudad: Valdebebas	Estadio: Ciudad Real Madrid	6 - 0	Real Madrid C.F.	U.D. La Cruz Villanovense
3872644	División de Honor Juvenil	Jornada 12	27/11/2022 12:00h	Ciudad: Alcorcón	Estadio: Santo Domingo	2 - 4	A.D. Alcorcón SAD	Getafe C.F. SAD
3872645	División de Honor Juvenil	Jornada 12	26/11/2022 16:00h	Ciudad: Madrid	Estadio: C.Dep. Fundacion Rayo Vallecano - Campo 4	2 - 3	Rayo Vallecano de Madrid SAD	Real Valladolid C.F. S.A.D.
3872646	División de Honor Juvenil	Jornada 13	04/12/2022 17:30h	Ciudad: Madrid	Estadio: Municipal Sporting de Hortaleza	0 - 1	AD Sporting Hortaleza	C.D. Leganés SAD
3872647	División de Honor Juvenil	Jornada 13	03/12/2022 16:00h	Ciudad: Badajoz	Estadio: Campos Federativos Eusebio Bejarano Vilaro	1 - 0	C.D. Badajoz 1905	C.F. Rayo Majadahonda
3872648	División de Honor Juvenil	Jornada 13	04/12/2022 12:00h	Ciudad: Palencia	Estadio: Campos del C.I. Amistad 1	0 - 0	C.D.I. de la Amistad	C.D. Col. Diocesano
3872649	División de Honor Juvenil	Jornada 13	04/12/2022 13:30h	Ciudad: Moraleja De Enmedio	Estadio: Moraleja de Enmedio - La Dehesa	1 - 1	C.F. Fuenlabrada SAD	C. y D. Leonesa S.A.D.
3872650	División de Honor Juvenil	Jornada 13	04/12/2022 12:00h	Ciudad: Alcalá De Henares	Estadio: C.D. ALCALÁ (natural)	0 - 0	Club Atlético de Madrid SAD	Real Madrid C.F.
3872651	División de Honor Juvenil	Jornada 13	03/12/2022 16:00h	Ciudad: Villanueva De La Serena	Estadio: Anexo Estadio Villanovense	0 - 3	U.D. La Cruz Villanovense	A.D. Alcorcón SAD
3872652	División de Honor Juvenil	Jornada 13	04/12/2022 16:00h	Ciudad: Getafe	Estadio: Ciudad Deportiva Getafe	0 - 1	Getafe C.F. SAD	Rayo Vallecano de Madrid SAD
3872653	División de Honor Juvenil	Jornada 13	04/12/2022 17:00h	Ciudad: Alcobendas	Estadio: Luis Aragonés - Ppvo. Mpal. José Caballero	1 - 0	Rayo Ciudad Alcobendas CF	Real Valladolid C.F. S.A.D.
3872654	División de Honor Juvenil	Jornada 14	10/12/2022 16:00h	Ciudad: Alcobendas	Estadio: Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	0 - 1	Rayo Ciudad Alcobendas CF	C.D. Leganés SAD
3872655	División de Honor Juvenil	Jornada 14	10/12/2022 17:30h	Ciudad: Majadahonda	Estadio: Campos Municipales Valle de la Oliva	2 - 0	C.F. Rayo Majadahonda	AD Sporting Hortaleza
3872656	División de Honor Juvenil	Jornada 14	10/12/2022 16:00h	Ciudad: Cáceres	Estadio: Federación de Caceres	0 - 0	C.D. Col. Diocesano	C.D. Badajoz 1905
3872657	División de Honor Juvenil	Jornada 14	10/12/2022 16:00h	Ciudad: Leon	Estadio: Area D. de Puente Castro 1	5 - 0	C. y D. Leonesa S.A.D.	C.D.I. de la Amistad
3872658	División de Honor Juvenil	Jornada 14	11/12/2022 12:00h	Ciudad: Valdebebas	Estadio: Ciudad Real Madrid	8 - 0	Real Madrid C.F.	C.F. Fuenlabrada SAD
3872659	División de Honor Juvenil	Jornada 14	10/12/2022 12:00h	Ciudad: Alcorcón	Estadio: Santo Domingo	1 - 1	A.D. Alcorcón SAD	Club Atlético de Madrid SAD
3872660	División de Honor Juvenil	Jornada 14	11/12/2022 16:00h	Ciudad: Madrid	Estadio: C.Dep. Fundacion Rayo Vallecano - Campo 4	1 - 0	Rayo Vallecano de Madrid SAD	U.D. La Cruz Villanovense
3872661	División de Honor Juvenil	Jornada 14	10/12/2022 12:00h	Ciudad: Valladolid	Estadio: Anexos E.M. José Zorrilla 3	0 - 3	Real Valladolid C.F. S.A.D.	Getafe C.F. SAD
3872662	División de Honor Juvenil	Jornada 15	18/12/2022 15:00h	Ciudad: Leganés	Estadio: Instalación Deportiva Butarque	0 - 3	C.D. Leganés SAD	C.F. Rayo Majadahonda
3872663	División de Honor Juvenil	Jornada 15	18/12/2022 13:00h	Ciudad: Madrid	Estadio: Municipal Sporting de Hortaleza	1 - 1	AD Sporting Hortaleza	C.D. Col. Diocesano
3872664	División de Honor Juvenil	Jornada 15	17/12/2022 16:00h	Ciudad: Badajoz	Estadio: Campos Federativos Eusebio Bejarano Vilaro	0 - 0	C.D. Badajoz 1905	C. y D. Leonesa S.A.D.
3872665	División de Honor Juvenil	Jornada 15	18/12/2022 12:00h	Ciudad: Palencia	Estadio: E.M. Nueva Balastera	1 - 5	C.D.I. de la Amistad	Real Madrid C.F.
3872666	División de Honor Juvenil	Jornada 15	18/12/2022 13:30h	Ciudad: Moraleja De Enmedio	Estadio: Moraleja de Enmedio - La Dehesa	0 - 0	C.F. Fuenlabrada SAD	A.D. Alcorcón SAD
3872667	División de Honor Juvenil	Jornada 15	17/12/2022 12:30h	Ciudad: Alcalá De Henares	Estadio: C.D. ALCALÁ (natural)	5 - 1	Club Atlético de Madrid SAD	Rayo Vallecano de Madrid SAD
3872668	División de Honor Juvenil	Jornada 15	17/12/2022 16:00h	Ciudad: Villanueva De La Serena	Estadio: Anexo Estadio Villanovense	1 - 0	U.D. La Cruz Villanovense	Real Valladolid C.F. S.A.D.
3872669	División de Honor Juvenil	Jornada 15	17/12/2022 18:30h	Ciudad: Getafe	Estadio: Ciudad Deportiva Getafe	1 - 3	Getafe C.F. SAD	Rayo Ciudad Alcobendas CF
3872670	División de Honor Juvenil	Jornada 16	15/01/2023 12:00h	Ciudad: Villanueva De La Serena	Estadio: Anexo Estadio Villanovense	2 - 3	U.D. La Cruz Villanovense	Getafe C.F. SAD
