id_partido	team	scorers
3872669	away	<li>Remolins 58' </li>
3872670	home	<li>Morales 87' (P)</li>
3872670	home	<li>Manuel 61' </li>
3872670	away	<li>Herranz 90' </li>
3872670	away	<li>Blanco 57' </li>
3872670	away	<li>Perez 10' </li>
3872671	home	<li>Niño 13' </li>
3872671	home	<li>Enmanuel 5' </li>
3872671	home	<li>Raihani 33' </li>
3872672	home	<li>Sevillano 20' </li>
3872672	home	<li>Amaro 73' </li>
3872672	away	<li>Joan Javier 80' </li>
3872672	away	<li>Alonso 89' </li>
3872673	home	<li>Sergio M. 35' </li>
3872673	home	<li>Mario 63' (P)</li>
3872674	away	<li>Yeray 1' </li>
3872674	away	<li>Yeray 75' </li>
3872674	away	<li>Alonso 64' </li>
3872675	home	<li>Marcos 64' </li>
3872675	home	<li>Lastra 37' </li>
3872675	home	<li>Miguel 68' </li>
3872675	away	<li>Jairo 12' </li>
3872676	home	<li>Moreno 50' </li>
3872676	home	<li>Moreno 85' </li>
3872676	home	<li>Mota 16' </li>
3872676	away	<li>Roman 34' (P)</li>
3872677	home	<li>Cabezas 39' (P)</li>
3872677	away	<li>Remolins 52' </li>
3872677	away	<li>Arriba 30' </li>
3872678	home	<li>Carvajal 39' </li>
3872678	home	<li>De Oro 74' </li>
3872678	home	<li>Martin 84' </li>
3872678	home	<li>Martin 89' </li>
3872679	home	<li>Fernandez 55' </li>
3872679	away	<li>Niño 43' (P)</li>
3872679	away	<li>Niño 78' (P)</li>
3872679	away	<li>Raihani 63' </li>
3872679	away	<li>Raihani 82' </li>
3872680	home	<li>Alexander 58' (P)</li>
3872681	home	<li>Robles 6' </li>
3872681	home	<li>Joan Javier 58' </li>
3872681	home	<li>Lopez 67' </li>
3872681	home	<li>Alonso 76' </li>
3872681	away	<li>Iker 52' </li>
3872681	away	<li>Iker 62' </li>
3872681	away	<li>Iker 88' </li>
3872682	home	<li>Garcia 29' </li>
3872682	home	<li>Fernandez 52' </li>
3872683	home	<li>Serrano 19' </li>
3872683	home	<li>De Llanos 61' </li>
3872683	home	<li>Rodriguez 72' </li>
3872683	home	<li>Rodriguez 74' </li>
3872683	home	<li>Ramon 90' </li>
3872685	home	<li>Peña 58' (P)</li>
3872685	away	<li>Hugo 80' </li>
3872685	away	<li>Cabezas 10' </li>
3872685	away	<li>Milara 46' </li>
3872686	home	<li>Niño 9' </li>
3872686	home	<li>Niño 46' </li>
3872686	home	<li>Enmanuel 16' (PP)</li>
3872686	home	<li>Raihani 29' </li>
3872686	home	<li>Raihani 38' </li>
3872686	home	<li>Francisco 68' </li>
3872687	home	<li>Sanchez 54' </li>
3872687	home	<li>Cordero 41' </li>
3872687	away	<li>Cara 62' </li>
3872687	away	<li>Ortueta 70' </li>
3872687	away	<li>Kawecki 19' </li>
3872688	home	<li>Iker 50' </li>
3872688	home	<li>Daniel 2' </li>
3872689	home	<li>Tamudo 11' </li>
3872689	away	<li>Joan Javier 65' </li>
3872689	away	<li>Marcos 31' </li>
3872689	away	<li>Marcos 77' </li>
3872689	away	<li>Alonso 51' </li>
3872690	home	<li>Andres 48' </li>
3872690	away	<li>Fernandez 45' </li>
3872690	away	<li>Joaquin 68' </li>
3872691	home	<li>Luis 40' (PP)</li>
3872691	home	<li>Moreno 46' </li>
3872691	away	<li>Garcia 66' </li>
3872691	away	<li>Cesar 2' </li>
3872691	away	<li>Yeray 57' </li>
3872692	away	<li>Alvano 70' </li>
3872693	home	<li>Roman 44' </li>
3872693	away	<li>Manuel 8' </li>
3872693	away	<li>Manuel 20' </li>
3872693	away	<li>Manuel 61' </li>
3872693	away	<li>Carvajal 17' </li>
3872693	away	<li>Carvajal 83' </li>
3872694	home	<li>Carvajal 23' </li>
3872694	away	<li>El Jebari 5' </li>
3872694	away	<li>Alvaro 35' </li>
3872694	away	<li>Francisco 86' </li>
3872695	home	<li>Morales 90' (P)</li>
3872695	home	<li>Gallardo 83' </li>
3872695	away	<li>Amaro 48' </li>
3872695	away	<li>Carmona 36' </li>
3872695	away	<li>Carmona 60' </li>
3872696	home	<li>Pujol 55' (P)</li>
3872696	home	<li>Fernandez 24' </li>
3872696	away	<li>Iker 65' </li>
3872696	away	<li>Santiago 79' </li>
3872697	home	<li>Nico 63' </li>
3872698	home	<li>Mogollon 17' </li>
3872698	home	<li>Alonso 20' </li>
3872698	home	<li>Alonso 80' </li>
3872698	home	<li>Ybarra 31' </li>
3872698	home	<li>Ybarra 78' </li>
3872698	away	<li>David 56' </li>
3872699	home	<li>Garcia 59' </li>
3872699	away	<li>Rodriguez 44' </li>
3872700	home	<li>Jimenez 44' </li>
3872700	home	<li>Garcia 25' </li>
3872700	home	<li>Garcia 49' </li>
3872700	home	<li>Fortuny 37' </li>
3872700	home	<li>Hernandez 47' </li>
3872700	away	<li>Victor 15' (PP)</li>
3872701	away	<li>Peña 8' </li>
3872702	home	<li>Lopez 69' </li>
3872702	away	<li>Boñar 17' </li>
3872702	away	<li>El Jebari 12' </li>
3872702	away	<li>Niño 14' </li>
3872702	away	<li>Niño 37' </li>
3872702	away	<li>Niño 42' </li>
3872702	away	<li>Raihani 87' </li>
3872702	away	<li>Vasiljevic 75' </li>
3872703	home	<li>Mario 89' </li>
3872703	home	<li>Santiago 1' </li>
3872703	home	<li>Santiago 53' </li>
3872703	home	<li>Santiago 74' </li>
3872703	away	<li>Alvaro 39' </li>
3872704	home	<li>Tamudo 22' </li>
3872704	away	<li>Kawecki 75' </li>
3872704	away	<li>Fernandez 15' </li>
3872705	home	<li>Alhambra 90' </li>
3872706	home	<li>Awuah 31' </li>
3872706	away	<li>De Las Sias 56' (PP)</li>
3872707	home	<li>Cabezas 8' </li>
3872707	home	<li>Aceituno 15' </li>
3872707	home	<li>Milara 88' </li>
3872707	away	<li>Salas 50' </li>
3872708	away	<li>Cesar 57' </li>
3872708	away	<li>Alonso 80' </li>
3872708	away	<li>Mesa 7' </li>
3872708	away	<li>Hernandez 47' </li>
3872709	away	<li>Carvajal 28' </li>
3872709	away	<li>Remolins 25' </li>
3872709	away	<li>Martin 89' </li>
3872709	away	<li>Soto 85' </li>
3872710	home	<li>Lechosa 25' </li>
3872710	away	<li>Sanchez 89' </li>
3872710	away	<li>Sevillano 58' </li>
3872711	home	<li>Denia 2' </li>
3872711	home	<li>Denia 21' </li>
3872711	home	<li>Niño 48' </li>
3872711	home	<li>Francisco 36' </li>
3872711	home	<li>Raihani 79' </li>
3872712	home	<li>Alvaro 11' </li>
3872712	home	<li>Alvarez 52' </li>
3872712	home	<li>Jorge 11' </li>
3872712	home	<li>Jorge 26' </li>
3872712	home	<li>Manuel 47' </li>
3872712	home	<li>Gallardo 80' </li>
3872713	home	<li>Ortueta 88' </li>
3872713	away	<li>Marcos 55' (P)</li>
3872714	home	<li>Aday 50' </li>
3872714	away	<li>Garcia 61' </li>
3872714	away	<li>Moreno 70' (P)</li>
3872714	away	<li>Moreno 75' (P)</li>
3872714	away	<li>Perez 23' </li>
3872715	home	<li>Alonso 50' </li>
3872715	home	<li>Alonso 61' </li>
3872715	home	<li>Becerra 69' </li>
3872716	home	<li>Joaquin 32' </li>
3872716	home	<li>Alonso 89' </li>
3872717	home	<li>Fortuny 50' </li>
3872718	home	<li>Santiago 27' </li>
3872719	away	<li>Gomez 10' </li>
3872719	away	<li>Gomez 14' </li>
3872719	away	<li>David 76' </li>
3872719	away	<li>Niño 77' </li>
3872719	away	<li>Niño 81' </li>
3872720	home	<li>Jesus Javier 16' </li>
3872720	home	<li>Jesus Javier 63' </li>
3872720	home	<li>Jesus Javier 65' </li>
3872720	away	<li>Lopez 88' </li>
3872721	home	<li>Garcia 9' </li>
3872721	home	<li>Moreno 40' (P)</li>
3872721	home	<li>Adrian 82' </li>
3872721	away	<li>Pujol 21' </li>
3872722	home	<li>Cabezas 25' </li>
3872722	home	<li>Cabezas 68' </li>
3872722	home	<li>Garcia 45' </li>
3872723	home	<li>Vivas 11' </li>
3872723	away	<li>Nieto 10' </li>
3872723	away	<li>Mogollon 6' </li>
3872723	away	<li>Ybarra 37' </li>
3872723	away	<li>Becerra 17' </li>
3872724	away	<li>Fernandez 70' </li>
3872725	home	<li>Yeray 23' </li>
3872725	home	<li>Martin 8' </li>
3872725	home	<li>Garcia 73' </li>
3872726	home	<li>Navarro 18' </li>
3872726	home	<li>Arriba 36' </li>
3872726	home	<li>Carvajal 46' </li>
3872726	home	<li>Carvajal 89' </li>
3872726	home	<li>Martin 40' </li>
3872726	away	<li>Santiago 70' </li>
3872726	away	<li>Daniel 25' </li>
3872727	home	<li>Calvo 77' </li>
3872727	home	<li>Sanchez 64' </li>
3872728	home	<li>Denia 50' </li>
3872728	home	<li>Fabian 43' </li>
3872728	home	<li>Francisco 79' </li>
3872729	home	<li>Fernandez 47' (P)</li>
3872729	home	<li>Jorge 50' </li>
3872729	away	<li>Martin 19' </li>
3872729	away	<li>Adrian 80' </li>
3872730	home	<li>Fernandez 67' </li>
3872731	home	<li>Castillo 85' </li>
3872732	home	<li>Joan Javier 67' </li>
3872732	home	<li>Alonso 4' </li>
3872732	home	<li>Marcos 84' </li>
3872732	away	<li>Jairo 30' </li>
3872733	home	<li>Fernandez 22' </li>
3872733	home	<li>Fernandez 57' </li>
3872733	away	<li>Fortuny 26' </li>
3872733	away	<li>Garcia 81' </li>
3872734	away	<li>Mario 28' </li>
3872734	away	<li>Santiago 21' </li>
3872734	away	<li>Iker 53' </li>
3872734	away	<li>Daniel 55' </li>
3872735	home	<li>Jesus Javier 82' </li>
3872735	away	<li>Sevillano 53' </li>
3872735	away	<li>Amaro 42' </li>
3872736	away	<li>Raihani 47' </li>
3872736	away	<li>Gonzalez 89' </li>
3872738	home	<li>Vivas 43' </li>
3872738	home	<li>Vivas 90' (P)</li>
3872738	home	<li>Carlos 3' </li>
3872738	away	<li>Del Olmo 18' </li>
3872738	away	<li>Pujol 76' </li>
3872738	away	<li>Cara 73' </li>
3872739	home	<li>Lisandro 8' </li>
3872739	away	<li>Aday 87' </li>
3872739	away	<li>Alexander 79' </li>
3872740	home	<li>Enriquez 90' </li>
3872741	home	<li>Espejo 53' </li>
3872742	home	<li>Pozos 44' </li>
3872742	home	<li>De Oro 18' </li>
3872742	home	<li>Carvajal 51' </li>
3872742	home	<li>Carvajal 83' </li>
3872742	home	<li>Peña 68' </li>
3872742	home	<li>Arriba 79' </li>
3872743	home	<li>Mario 68' </li>
3872743	home	<li>Iker 88' (P)</li>
3872743	home	<li>Daniel 30' </li>
3872743	away	<li>Jorge 7' (PP)</li>
3872743	away	<li>Andres 18' </li>
3872743	away	<li>Jesus Javier 68' </li>
3872744	home	<li>Calvo 44' </li>
3872744	home	<li>Sevillano 75' </li>
3872744	away	<li>Awuah 44' </li>
3872745	home	<li>Denia 83' </li>
3872746	home	<li>Alvaro 62' </li>
3872746	home	<li>Jardon 89' </li>
3872746	away	<li>Carlos 18' </li>
3872747	home	<li>Cara 27' </li>
3872747	away	<li>Arturo 52' </li>
3872748	home	<li>Aday 76' </li>
3872748	away	<li>Garcia 73' </li>
3872748	away	<li>Garcia 79' </li>
3872749	home	<li>Becerra 15' </li>
3872750	home	<li>Jorge 69' </li>
3872750	away	<li>Gonzalez 62' </li>
3872750	away	<li>Cordero 84' </li>
3872751	home	<li>Mota 78' </li>
3872752	home	<li>Cabezas 57' </li>
3872752	away	<li>Martinez 74' </li>
3872752	away	<li>Martinez 89' </li>
3872753	home	<li>Roman 5' </li>
3872753	home	<li>Roman 71' </li>
3872753	away	<li>Denia 49' </li>
3872753	away	<li>Raihani 15' </li>
3872753	away	<li>Raihani 54' </li>
3872754	home	<li>Adrian 90' </li>
3872755	home	<li>Garcia 75' </li>
3872755	home	<li>Mesonero 13' </li>
3872755	home	<li>Cesar 90' </li>
3872756	away	<li>Sergio 54' </li>
3872757	home	<li>Robles 54' (P)</li>
3872757	away	<li>Manuel 48' </li>
3872757	away	<li>Carvajal 20' </li>
3872757	away	<li>Martin 90' </li>
3872758	home	<li>Peña 66' </li>
3872758	home	<li>Carvajal 87' </li>
3872759	home	<li>Lozano 66' </li>
3872759	away	<li>Adrian 69' </li>
3872759	away	<li>Notario 64' </li>
3872760	home	<li>Santiago 62' </li>
3872760	away	<li>Milara 1' </li>
3872760	away	<li>Milara 53' </li>
3872760	away	<li>Rubio 89' </li>
3872761	home	<li>Requena 79' </li>
3872761	home	<li>Sevillano 38' </li>
3872762	home	<li>Denia 38' </li>
3872762	home	<li>Gomez 90' </li>
3872763	home	<li>Asensio 75' (PP)</li>
3872763	away	<li>Garcia 61' </li>
3872763	away	<li>Cesar 10' </li>
3872763	away	<li>Cesar 34' </li>
3872763	away	<li>Mesonero 4' </li>
3872764	home	<li>Alberto 36' </li>
3872764	home	<li>Perez 86' </li>
3872765	home	<li>Victor 77' </li>
3872765	away	<li>Marcos 11' </li>
3872766	home	<li>Garcia 89' </li>
3872766	home	<li>Adrian 16' </li>
3872766	home	<li>Awuah 6' </li>
3872766	away	<li>Jesus Javier 56' </li>
3872767	home	<li>Milara 23' </li>
3872767	home	<li>Milara 76' (P)</li>
3872767	away	<li>Martin 89' (PP)</li>
3872767	away	<li>Jimenez 28' </li>
3872768	home	<li>Ciriero 44' </li>
3872768	home	<li>Carlos 80' </li>
3872768	away	<li>Sergio M. 9' </li>
3872768	away	<li>Iker 43' </li>
3872769	home	<li>Calzado 90' </li>
3872769	home	<li>Arturo 50' </li>
3872769	away	<li>Lopez 90' </li>
3872770	home	<li>Moran 27' </li>
3872770	home	<li>Cesar 34' </li>
3872770	home	<li>Cesar 74' </li>
3872770	home	<li>De Llanos 85' </li>
3872770	home	<li>Paz 79' </li>
3872771	home	<li>Emanuelle 90' </li>
3872771	away	<li>Asensio 22' </li>
