id_partido	team	jugador	minuto_gol	propia_puerta	penalty
3872678	home	Martin 	89	False	False
3872679	home	Fernandez 	55	False	False
3872679	away	Ni	43	False	True
3872679	away	Ni	78	False	True
3872679	away	Raihani 	63	False	False
3872679	away	Raihani 	82	False	False
3872680	home	Alexander 	58	False	True
3872681	home	Robles 	6	False	False
3872681	home	Joan Javier 	58	False	False
3872681	home	Lopez 	67	False	False
3872681	home	Alonso 	76	False	False
3872681	away	Iker 	52	False	False
3872681	away	Iker 	62	False	False
3872681	away	Iker 	88	False	False
3872682	home	Garcia 	29	False	False
3872682	home	Fernandez 	52	False	False
3872683	home	Serrano 	19	False	False
3872683	home	De Llanos 	61	False	False
3872683	home	Rodriguez 	72	False	False
3872683	home	Rodriguez 	74	False	False
3872683	home	Ramon 	90	False	False
3872685	home	Pe	58	False	True
3872685	away	Hugo 	80	False	False
3872685	away	Cabezas 	10	False	False
3872685	away	Milara 	46	False	False
3872686	home	Ni	9	False	False
3872686	home	Ni	46	False	False
3872686	home	Enmanuel 	16	True	False
3872686	home	Raihani 	29	False	False
3872686	home	Raihani 	38	False	False
3872686	home	Francisco 	68	False	False
3872687	home	Sanchez 	54	False	False
3872687	home	Cordero 	41	False	False
3872687	away	Cara 	62	False	False
3872687	away	Ortueta 	70	False	False
3872687	away	Kawecki 	19	False	False
3872688	home	Iker 	50	False	False
3872688	home	Daniel 	2	False	False
3872689	home	Tamudo 	11	False	False
3872689	away	Joan Javier 	65	False	False
3872689	away	Marcos 	31	False	False
3872689	away	Marcos 	77	False	False
3872689	away	Alonso 	51	False	False
3872690	home	Andres 	48	False	False
3872690	away	Fernandez 	45	False	False
3872690	away	Joaquin 	68	False	False
3872691	home	Luis 	40	True	False
3872691	home	Moreno 	46	False	False
3872691	away	Garcia 	66	False	False
3872691	away	Cesar 	2	False	False
3872691	away	Yeray 	57	False	False
3872692	away	Alvano 	70	False	False
3872693	home	Roman 	44	False	False
3872693	away	Manuel 	8	False	False
3872693	away	Manuel 	20	False	False
3872693	away	Manuel 	61	False	False
3872693	away	Carvajal 	17	False	False
3872693	away	Carvajal 	83	False	False
3872694	home	Carvajal 	23	False	False
3872694	away	El Jebari 	5	False	False
3872694	away	Alvaro 	35	False	False
3872694	away	Francisco 	86	False	False
3872695	home	Morales 	90	False	True
3872695	home	Gallardo 	83	False	False
3872695	away	Amaro 	48	False	False
3872695	away	Carmona 	36	False	False
3872695	away	Carmona 	60	False	False
3872696	home	Pujol 	55	False	True
3872696	home	Fernandez 	24	False	False
3872696	away	Iker 	65	False	False
3872696	away	Santiago 	79	False	False
3872697	home	Nico 	63	False	False
3872698	home	Mogollon 	17	False	False
3872698	home	Alonso 	20	False	False
3872698	home	Alonso 	80	False	False
3872698	home	Ybarra 	31	False	False
3872698	home	Ybarra 	78	False	False
3872698	away	David 	56	False	False
3872699	home	Garcia 	59	False	False
3872699	away	Rodriguez 	44	False	False
3872700	home	Jimenez 	44	False	False
3872700	home	Garcia 	25	False	False
3872700	home	Garcia 	49	False	False
3872700	home	Fortuny 	37	False	False
3872700	home	Hernandez 	47	False	False
3872700	away	Victor 	15	True	False
3872701	away	Pe	8	False	False
3872702	home	Lopez 	69	False	False
3872702	away	Bo	17	False	False
3872702	away	El Jebari 	12	False	False
3872702	away	Ni	14	False	False
3872702	away	Ni	37	False	False
3872702	away	Ni	42	False	False
3872702	away	Raihani 	87	False	False
3872702	away	Vasiljevic 	75	False	False
3872703	home	Mario 	89	False	False
3872703	home	Santiago 	1	False	False
3872703	home	Santiago 	53	False	False
3872703	home	Santiago 	74	False	False
3872703	away	Alvaro 	39	False	False
3872704	home	Tamudo 	22	False	False
3872704	away	Kawecki 	75	False	False
3872704	away	Fernandez 	15	False	False
3872705	home	Alhambra 	90	False	False
3872706	home	Awuah 	31	False	False
3872706	away	De Las Sias 	56	True	False
3872707	home	Cabezas 	8	False	False
3872707	home	Aceituno 	15	False	False
3872707	home	Milara 	88	False	False
3872707	away	Salas 	50	False	False
3872708	away	Cesar 	57	False	False
3872708	away	Alonso 	80	False	False
3872708	away	Mesa 	7	False	False
3872708	away	Hernandez 	47	False	False
3872709	away	Carvajal 	28	False	False
3872709	away	Remolins 	25	False	False
3872709	away	Martin 	89	False	False
3872709	away	Soto 	85	False	False
3872710	home	Lechosa 	25	False	False
3872710	away	Sanchez 	89	False	False
3872710	away	Sevillano 	58	False	False
3872711	home	Denia 	2	False	False
3872711	home	Denia 	21	False	False
3872711	home	Ni	48	False	False
3872711	home	Francisco 	36	False	False
3872711	home	Raihani 	79	False	False
3872712	home	Alvaro 	11	False	False
3872712	home	Alvarez 	52	False	False
3872712	home	Jorge 	11	False	False
3872712	home	Jorge 	26	False	False
3872712	home	Manuel 	47	False	False
3872712	home	Gallardo 	80	False	False
3872713	home	Ortueta 	88	False	False
3872713	away	Marcos 	55	False	True
3872714	home	Aday 	50	False	False
3872714	away	Garcia 	61	False	False
3872714	away	Moreno 	70	False	True
3872714	away	Moreno 	75	False	True
3872714	away	Perez 	23	False	False
3872715	home	Alonso 	50	False	False
3872715	home	Alonso 	61	False	False
3872715	home	Becerra 	69	False	False
3872716	home	Joaquin 	32	False	False
3872716	home	Alonso 	89	False	False
3872717	home	Fortuny 	50	False	False
3872718	home	Santiago 	27	False	False
3872719	away	Gomez 	10	False	False
3872719	away	Gomez 	14	False	False
3872719	away	David 	76	False	False
3872719	away	Ni	77	False	False
3872719	away	Ni	81	False	False
3872720	home	Jesus Javier 	16	False	False
3872720	home	Jesus Javier 	63	False	False
3872720	home	Jesus Javier 	65	False	False
3872720	away	Lopez 	88	False	False
3872721	home	Garcia 	9	False	False
3872721	home	Moreno 	40	False	True
3872721	home	Adrian 	82	False	False
3872721	away	Pujol 	21	False	False
3872722	home	Cabezas 	25	False	False
3872722	home	Cabezas 	68	False	False
3872722	home	Garcia 	45	False	False
3872723	home	Vivas 	11	False	False
3872723	away	Nieto 	10	False	False
3872723	away	Mogollon 	6	False	False
3872723	away	Ybarra 	37	False	False
3872723	away	Becerra 	17	False	False
3872724	away	Fernandez 	70	False	False
3872725	home	Yeray 	23	False	False
3872725	home	Martin 	8	False	False
3872725	home	Garcia 	73	False	False
3872726	home	Navarro 	18	False	False
3872726	home	Arriba 	36	False	False
3872726	home	Carvajal 	46	False	False
3872726	home	Carvajal 	89	False	False
3872726	home	Martin 	40	False	False
3872726	away	Santiago 	70	False	False
3872726	away	Daniel 	25	False	False
3872727	home	Calvo 	77	False	False
3872727	home	Sanchez 	64	False	False
3872728	home	Denia 	50	False	False
3872728	home	Fabian 	43	False	False
3872728	home	Francisco 	79	False	False
3872729	home	Fernandez 	47	False	True
3872729	home	Jorge 	50	False	False
3872729	away	Martin 	19	False	False
3872729	away	Adrian 	80	False	False
3872730	home	Fernandez 	67	False	False
3872731	home	Castillo 	85	False	False
3872732	home	Joan Javier 	67	False	False
3872732	home	Alonso 	4	False	False
3872732	home	Marcos 	84	False	False
3872732	away	Jairo 	30	False	False
3872733	home	Fernandez 	22	False	False
3872733	home	Fernandez 	57	False	False
3872733	away	Fortuny 	26	False	False
3872733	away	Garcia 	81	False	False
3872734	away	Mario 	28	False	False
3872734	away	Santiago 	21	False	False
3872734	away	Iker 	53	False	False
3872734	away	Daniel 	55	False	False
3872735	home	Jesus Javier 	82	False	False
3872735	away	Sevillano 	53	False	False
3872735	away	Amaro 	42	False	False
3872736	away	Raihani 	47	False	False
3872736	away	Gonzalez 	89	False	False
3872738	home	Vivas 	43	False	False
3872738	home	Vivas 	90	False	True
3872738	home	Carlos 	3	False	False
3872738	away	Del Olmo 	18	False	False
3872738	away	Pujol 	76	False	False
3872738	away	Cara 	73	False	False
3872739	home	Lisandro 	8	False	False
3872739	away	Aday 	87	False	False
3872739	away	Alexander 	79	False	False
3872740	home	Enriquez 	90	False	False
3872741	home	Espejo 	53	False	False
3872742	home	Pozos 	44	False	False
3872742	home	De Oro 	18	False	False
3872742	home	Carvajal 	51	False	False
3872742	home	Carvajal 	83	False	False
3872742	home	Pe	68	False	False
3872742	home	Arriba 	79	False	False
3872743	home	Mario 	68	False	False
3872743	home	Iker 	88	False	True
3872743	home	Daniel 	30	False	False
3872743	away	Jorge 	7	True	False
3872743	away	Andres 	18	False	False
3872743	away	Jesus Javier 	68	False	False
3872744	home	Calvo 	44	False	False
3872744	home	Sevillano 	75	False	False
3872744	away	Awuah 	44	False	False
3872745	home	Denia 	83	False	False
3872746	home	Alvaro 	62	False	False
3872746	home	Jardon 	89	False	False
3872746	away	Carlos 	18	False	False
3872747	home	Cara 	27	False	False
3872747	away	Arturo 	52	False	False
3872748	home	Aday 	76	False	False
3872748	away	Garcia 	73	False	False
3872748	away	Garcia 	79	False	False
3872749	home	Becerra 	15	False	False
3872750	home	Jorge 	69	False	False
3872750	away	Gonzalez 	62	False	False
3872750	away	Cordero 	84	False	False
3872751	home	Mota 	78	False	False
3872752	home	Cabezas 	57	False	False
3872752	away	Martinez 	74	False	False
3872752	away	Martinez 	89	False	False
3872753	home	Roman 	5	False	False
3872753	home	Roman 	71	False	False
3872753	away	Denia 	49	False	False
3872753	away	Raihani 	15	False	False
3872753	away	Raihani 	54	False	False
3872754	home	Adrian 	90	False	False
3872755	home	Garcia 	75	False	False
3872755	home	Mesonero 	13	False	False
3872755	home	Cesar 	90	False	False
3872756	away	Sergio 	54	False	False
3872757	home	Robles 	54	False	True
3872757	away	Manuel 	48	False	False
3872757	away	Carvajal 	20	False	False
3872757	away	Martin 	90	False	False
3872758	home	Pe	66	False	False
3872758	home	Carvajal 	87	False	False
3872759	home	Lozano 	66	False	False
3872759	away	Adrian 	69	False	False
3872759	away	Notario 	64	False	False
3872760	home	Santiago 	62	False	False
3872760	away	Milara 	1	False	False
3872760	away	Milara 	53	False	False
3872760	away	Rubio 	89	False	False
3872761	home	Requena 	79	False	False
3872761	home	Sevillano 	38	False	False
3872762	home	Denia 	38	False	False
3872762	home	Gomez 	90	False	False
3872763	home	Asensio 	75	True	False
3872763	away	Garcia 	61	False	False
3872763	away	Cesar 	10	False	False
3872763	away	Cesar 	34	False	False
3872763	away	Mesonero 	4	False	False
3872764	home	Alberto 	36	False	False
3872764	home	Perez 	86	False	False
3872765	home	Victor 	77	False	False
3872765	away	Marcos 	11	False	False
3872766	home	Garcia 	89	False	False
3872766	home	Adrian 	16	False	False
3872766	home	Awuah 	6	False	False
3872766	away	Jesus Javier 	56	False	False
3872767	home	Milara 	23	False	False
3872767	home	Milara 	76	False	True
3872767	away	Martin 	89	True	False
3872767	away	Jimenez 	28	False	False
3872768	home	Ciriero 	44	False	False
3872768	home	Carlos 	80	False	False
3872768	away	Sergio M	9	False	False
3872768	away	Iker 	43	False	False
3872769	home	Calzado 	90	False	False
3872769	home	Arturo 	50	False	False
3872769	away	Lopez 	90	False	False
3872770	home	Moran 	27	False	False
3872770	home	Cesar 	34	False	False
3872770	home	Cesar 	74	False	False
3872770	home	De Llanos 	85	False	False
3872770	home	Paz 	79	False	False
3872771	home	Emanuelle 	90	False	False
3872771	away	Asensio 	22	False	False
3872772	home	De Las Sias 	15	False	False
3872772	away	Llorente 	22	False	False
3872772	away	Bragado 	45	False	False
3872773	home	Alejandro 	78	False	True
3872773	away	Pe	67	False	False
3872773	away	Carvajal 	48	False	False
3872773	away	Carvajal 	83	False	False
3872774	away	Pe	37	False	True
3872774	away	Carvajal 	56	False	False
3872775	away	Cabezas 	74	False	False
3872776	home	Conejero 	70	False	False
3872776	home	Conejero 	90	False	False
3872776	away	Roman 	7	False	False
3872776	away	Pablo 	15	False	False
3872776	away	Paz 	87	False	False
3872777	home	Mario 	28	False	False
3872777	home	Victor 	36	False	False
3872777	home	Bruno 	30	False	False
3872777	away	Juan 	42	False	False
3872778	away	Chema 	24	False	False
3872779	home	Francisco 	43	False	False
3872779	home	Denia 	63	False	False
3872780	home	Morales 	54	False	True
3872780	home	Alvaro 	21	False	False
3872780	home	Alvarez 	60	False	False
3872780	home	Manuel 	79	False	False
3872780	home	Garcia 	70	False	False
3872780	away	Nieto 	76	False	True
3872780	away	Ybarra 	32	False	False
3872781	home	Llorente 	20	False	False
