id_partido	team	minutes	dorsal	jugador	titular	suplente
3872555	home	0	13	Francisco Javier	False	True
3872555	home	12	14	Calzado	False	True
3872555	home	0	15	Hugo	False	True
3872555	home	25	16	Jaime	False	True
3872555	home	12	17	Alfonso	False	True
3872555	home	39	18	Iker	False	True
3872555	away	0	1	Alejandro	False	True
3872555	away	8	4	Adrian	False	True
3872555	away	39	11	Hugo	False	True
3872555	away	18	14	David	False	True
3872555	away	18	15	Ruiz	False	True
3872555	away	8	16	Diego	False	True
3872555	away	0	25	Javier	False	True
3872556	home	90	1	Gonzalez	True	False
3872556	home	90	2	Sanchez	True	False
3872556	home	71	3	Flores	True	False
3872556	home	90	4	Ciriero	True	False
3872556	home	90	5	Muñoz	True	False
3872556	home	90	6	Muñoz	True	False
3872556	home	90	7	Silgado	True	False
3872556	home	55	8	Martin	True	False
3872556	home	51	9	Mora	True	False
3872556	home	71	10	Roman	True	False
3872556	home	90	11	Bote	True	False
3872556	away	90	1	Luciano	True	False
3872556	away	90	2	Sanchez	True	False
3872556	away	81	3	Fernandez	True	False
3872556	away	90	4	Akumagoa	True	False
3872556	away	90	5	Luis	True	False
3872556	away	90	6	Herrero	True	False
3872556	away	81	7	Moreno	True	False
3872556	away	90	8	Awuah	True	False
3872556	away	90	9	Magariño	True	False
3872556	away	63	10	Adrian	True	False
3872556	away	90	11	Martin	True	False
3872556	home	35	12	Borrego	False	True
3872556	home	0	13	Fernandez	False	True
3872556	home	39	14	Garcia	False	True
3872556	home	0	15	Coello	False	True
3872556	home	0	16	De La Natividad	False	True
3872556	home	19	17	Vivas	False	True
3872556	home	19	18	Rosa	False	True
3872556	away	0	12	Rodriguez	False	True
3872556	away	0	14	De La Fuente	False	True
3872556	away	0	15	Puente	False	True
3872556	away	9	16	Barba	False	True
3872556	away	27	17	Mera	False	True
3872556	away	9	18	Llanos	False	True
3872556	away	0	25	Jimenez	False	True
3872557	home	90	1	De Castro	True	False
3872557	home	67	2	Garcia	True	False
3872557	home	79	3	Ursu	True	False
3872557	home	90	4	Lechosa	True	False
3872557	home	90	5	Ismael	True	False
3872557	home	79	6	Delgado	True	False
3872557	home	52	7	Pozos	True	False
3872557	home	90	8	Peña	True	False
3872557	home	79	9	Carvajal	True	False
3872557	home	90	10	Remolins	True	False
3872557	home	90	11	Manuel	True	False
3872557	away	90	1	Martin	True	False
3872557	away	90	2	Gnamadio	True	False
3872557	away	90	3	Corral	True	False
3872557	away	90	4	Criado	True	False
3872557	away	90	5	Victor	True	False
3872557	away	71	6	Berzal	True	False
3872557	away	46	7	Herrero	True	False
3872557	away	84	8	Gordo	True	False
3872557	away	90	9	Hordijk	True	False
3872557	away	84	10	Garcia	True	False
3872557	away	90	11	Tallal	True	False
3872557	home	11	12	Toribio	False	True
3872557	home	0	13	Tejero	False	True
3872557	home	38	14	De Oro	False	True
3872557	home	11	15	Arriba	False	True
3872557	home	11	16	Butragueño	False	True
3872557	home	23	17	Arumugam	False	True
3872557	home	0	18	Perez	False	True
3872557	away	0	12	Panadero	False	True
3872557	away	44	14	Almuzara	False	True
3872557	away	6	15	Cara	False	True
3872557	away	0	16	Daniel	False	True
3872557	away	19	17	Cabezas	False	True
3872557	away	6	18	Rodriguez	False	True
3872557	away	0	25	Nuñez	False	True
3872558	home	90	1	Malpartida	True	False
3872558	home	64	2	Morales	True	False
3872558	home	29	3	ISRA	True	False
3872558	home	90	4	Fernandez	True	False
3872558	home	90	5	Riera	True	False
3872558	home	61	6	Casillas	True	False
3872558	home	61	7	Alvaro	True	False
3872558	home	90	8	Garcia	True	False
3872558	home	64	9	Lopez	True	False
3872558	home	90	10	Jorge	True	False
3872558	home	90	11	Foldi	True	False
3872558	away	90	1	De Castro	True	False
3872558	away	90	2	Arumugam	True	False
3872558	away	57	3	Zafrir	True	False
3872558	away	46	4	Lechosa	True	False
3872558	away	90	5	Ismael	True	False
3872558	away	90	6	Delgado	True	False
3872558	away	57	7	De Oro	True	False
3872558	away	46	8	Butragueño	True	False
3872558	away	82	9	Manuel	True	False
3872558	away	90	10	Remolins	True	False
3872558	away	90	11	Peña	True	False
3872558	home	26	12	Chang Sang	False	True
3872558	home	0	13	Alejandro	False	True
3872558	home	61	14	Asensio	False	True
3872558	home	29	15	Bandín	False	True
3872558	home	0	16	Neil	False	True
3872558	home	26	17	Gallardo	False	True
3872558	home	29	18	Sanchez	False	True
3872558	away	0	12	Arriba	False	True
3872558	away	0	13	Tejero	False	True
3872558	away	33	14	Garcia	False	True
3872558	away	33	15	Pozos	False	True
3872558	away	8	16	Sevilla	False	True
3872558	away	44	17	Perez	False	True
3872558	away	44	18	Carvajal	False	True
3872559	home	46	2	Carlos	True	False
3872559	home	90	3	Gonzalez	True	False
3872559	home	90	5	Martinez	True	False
3872559	home	46	6	Jorge	True	False
3872559	home	90	8	Gomez	True	False
3872559	home	46	9	Denia	True	False
3872559	home	90	13	Esquivel	True	False
3872559	home	90	14	Javier	True	False
3872559	home	90	18	Enmanuel	True	False
3872559	home	71	19	Raihani	True	False
3872559	home	46	21	Vasiljevic	True	False
3872559	away	90	1	Blanco	True	False
3872559	away	63	2	Alberto	True	False
3872559	away	90	4	Raul Martin	True	False
3872559	away	90	5	Tamames	True	False
3872559	away	63	7	Blanco	True	False
3872559	away	90	8	Llorente	True	False
3872559	away	68	10	Rovira	True	False
3872559	away	63	15	Simons	True	False
3872559	away	71	19	Greciano	True	False
3872559	away	90	25	Herranz	True	False
3872559	away	90	26	Fernandez	True	False
3872559	home	0	1	Sergio	False	True
3872559	home	44	4	Boñar	False	True
3872559	home	44	10	Fabian	False	True
3872559	home	44	11	Alvaro	False	True
3872559	home	0	16	Sergio	False	True
3872559	home	44	17	Niño	False	True
3872559	home	19	22	Francisco	False	True
